model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoostDeep_BAG_L1_FULL,-0.031324054839188875,,r2,0.0045928955078125,,0.33161234855651855,0.0045928955078125,,0.33161234855651855,1,True,36
CatBoostDeep_BAG_L2_FULL,-0.035242446653604764,,r2,0.12758088111877441,,1.316992998123169,0.0060884952545166016,,0.1462726593017578,2,True,45
WeightedEnsemble_L2_FULL,-0.0687279198330828,,r2,0.0676417350769043,,0.8322281837463379,0.011907577514648438,,0.05856490135192871,2,True,38
CatBoost_BAG_L3_FULL,-0.084494238995239,,r2,0.3090381622314453,,3.252852439880371,0.02988266944885254,,1.0940654277801514,3,True,53
CatBoost_BAG_L1_FULL,-0.09270945363589922,,r2,0.01579427719116211,,1.606510877609253,0.01579427719116211,,1.606510877609253,1,True,35
CatBoost_BAG_L2_FULL,-0.10012693832231134,,r2,0.15662145614624023,,3.953321933746338,0.03512907028198242,,2.7826015949249268,2,True,44
CatBoostDeep_BAG_L2,-0.15617075204286457,-0.15414645393969328,r2,0.15163803100585938,0.3212141990661621,5.728197336196899,0.019493579864501953,0.07013583183288574,1.6002366542816162,2,True,18
CatBoostDeep_BAG_L1,-0.16522102433426067,-0.16142125785418382,r2,0.01978898048400879,0.06023454666137695,1.864330768585205,0.01978898048400879,0.06023454666137695,1.864330768585205,1,True,9
RandomForestMAE_BAG_L3_FULL,-0.17110036655212868,,r2,0.3476226329803467,,2.5505638122558594,0.0684671401977539,,0.39177680015563965,3,True,52
LightGBMLarge_BAG_L3_FULL,-0.1756401136798602,,r2,0.3019411563873291,,2.2262301445007324,0.022785663604736328,,0.0674431324005127,3,True,50
WeightedEnsemble_L3,-0.1778375786998243,-0.11655387171586828,r2,0.16183757781982422,0.3791191577911377,6.714748859405518,0.0015168190002441406,0.0,0.02642989158630371,3,True,20
LightGBM_BAG_L3_FULL,-0.17875056505436504,,r2,0.30355238914489746,,2.2253286838531494,0.024396896362304688,,0.06654167175292969,3,True,49
LightGBMLarge_BAG_L2,-0.1932618171746101,-0.11948288268983887,r2,0.14082717895507812,0.30898332595825195,5.088082313537598,0.008682727813720703,0.057904958724975586,0.9601216316223145,2,True,14
